display_name,full_name,gender,age,date_of_birth,bowling_style,position_name,country_name
Murray Bennett,Murray John Bennett,M,69,1956-10-06T00:00Z,Slow left-arm orthodox,Unknown,Australia
Glenn Bishop,Glenn Andrew Bishop,M,66,1960-02-25T00:00Z,,Unknown,Australia
Nathan Adcock,Nathan Tennyson Adcock,M,48,1978-04-22T00:00Z,Right-arm offbreak,Unknown,Australia
David Boon,David Clarence Boon,M,65,1960-12-29T00:00Z,Right-arm offbreak,Top-order batter,Australia
Andy Bichel,Andrew John Bichel,M,55,1970-08-27T00:00Z,Right-arm fast-medium,Bowler,Australia
Graeme Beard,Graeme Robert Beard,M,75,1950-08-19T00:00Z,,Unknown,Australia
Greg Blewett,Gregory Scott Blewett,M,54,1971-10-29T00:00Z,Right-arm medium,Allrounder,Australia
Aaron Bird,Aaron Christopher Bird,M,42,1983-09-28T00:00Z,Right-arm fast,Bowler,Australia
Allan Border,Allan Robert Border,M,70,1955-07-27T00:00Z,Slow left-arm orthodox,Middle-order batter,Australia
Nathan Bracken,Nathan Wade Bracken,M,48,1977-09-12T00:00Z,Left-arm fast-medium,Bowler,Australia
Michael Bevan,Michael Gwyl Bevan,M,55,1970-05-08T00:00Z,Left-arm wrist-spin,Batter,Australia
Ray Bright,Raymond James Bright,M,71,1954-07-13T00:00Z,Slow left-arm orthodox,Bowler,Australia
Jarrad Burke,Jarrad Nathan Burke,M,43,1983-01-07T00:00Z,Slow left-arm orthodox,Unknown,Australia
David Bandy,David Charles Bandy,M,47,1978-07-19T00:00Z,Right-arm medium,Unknown,Australia
Cullen Bailey,Cullen Benjamin Bailey,M,41,1985-02-26T00:00Z,Legbreak googly,Bowler,Australia
Cameron Borgas,Cameron James Borgas,M,42,1983-09-01T00:00Z,Right-arm offbreak,Unknown,Australia
Luke Butterworth,Luke Rex Butterworth,M,42,1983-10-28T00:00Z,Right-arm medium,Unknown,Australia
Jo Angel,Jo Angel,M,58,1968-04-22T00:00Z,Right-arm fast,Unknown,Australia
Jim Allenby,James Allenby,M,43,1982-09-12T00:00Z,Right-arm medium,Allrounder,Australia
Terry Alderman,Terence Michael Alderman,M,69,1956-06-12T00:00Z,Right-arm fast-medium,Bowler,Australia
Scott Brant,Scott Andrew Brant,M,43,1983-01-26T00:00Z,Left-arm fast-medium,Unknown,Australia
Jeremy Bray,Jeremy Paul Bray,M,52,1973-11-30T00:00Z,,Unknown,Ireland
Liam Buchanan,Liam Garry Luke Buchanan,M,45,1980-11-22T00:00Z,Right-arm fast-medium,Unknown,Australia
Travis Birt,Travis Rodney Birt,M,44,1981-12-09T00:00Z,Right-arm medium,Middle-order batter,Australia
Doug Bollinger,Douglas Erwin Bollinger,M,44,1981-07-24T00:00Z,Left-arm fast-medium,Bowler,Australia
Ahillen Beadle,Ahillen Rajakumaran Beadle,M,39,1986-08-29T00:00Z,Slow left-arm orthodox,Unknown,Australia
Phil Carlson,Phillip Henry Carlson,M,70,1951-08-08T00:00Z,Right-arm medium,Unknown,Australia
Greg Chappell,Gregory Stephen Chappell,M,77,1948-08-07T00:00Z,Right-arm medium,Top-order batter,Australia
Wayne Clark,Wayne Maxwell Clark,M,72,1953-09-19T00:00Z,Right-arm fast-medium,Bowler,Australia
Gary Cosier,Gary John Cosier,M,73,1953-04-25T00:00Z,Right-arm medium,Middle-order batter,Australia
Glen Batticciotto,Glen Charles Batticciotto,M,44,1981-08-18T00:00Z,Right-arm medium,Unknown,Australia
Greg Campbell,Gregory Dale Campbell,M,62,1964-03-10T00:00Z,Right-arm fast-medium,Unknown,Australia
Michael Clarke,Michael John Clarke,M,45,1981-04-02T00:00Z,Slow left-arm orthodox,Middle-order batter,Australia
Ed Cowan,Edward James McKenzie Cowan,M,43,1982-06-16T00:00Z,Legbreak,Opening batter,Australia
Dane Anderson,Dane John Anderson,M,41,1984-10-19T00:00Z,,Unknown,Australia
David Colley,David John Colley,M,79,1947-03-15T00:00Z,Right-arm fast-medium,Unknown,Australia
Dean Brownlie,Dean Graham Brownlie,M,41,1984-07-30T00:00Z,Right-arm medium,Middle-order batter,New Zealand
Jamie Cox,Jamie Cox,M,56,1969-10-15T00:00Z,Right-arm offbreak,Unknown,Australia
Mark Cosgrove,Mark James Cosgrove,M,41,1984-06-14T00:00Z,Right-arm medium,Top-order batter,Australia
Aiden Blizzard,Aiden Craig Blizzard,M,41,1984-06-27T00:00Z,Left-arm medium,Batter,Australia
Ian Chappell,Ian Michael Chappell,M,82,1943-09-26T00:00Z,Legbreak,Top-order batter,Australia
Ryan Campbell,Ryan John Campbell,M,54,1972-02-07T00:00Z,Right-arm offbreak,Wicketkeeper batter,Hong Kong
Justin Coetzee,Justin Petrus Coetzee,M,41,1984-06-12T00:00Z,Left-arm fast-medium,Bowler,Australia
Mark Cameron,Mark Alan Cameron,M,45,1981-01-31T00:00Z,Right-arm fast,Bowler,Australia
Ian Callen,Ian Wayne Callen,M,71,1955-05-02T00:00Z,Right-arm fast-medium,Unknown,Australia
Beau Casson,Beau Casson,M,43,1982-12-07T00:00Z,Left-arm wrist-spin,Bowler,Australia
Mark Cleary,Mark Francis Cleary,M,45,1980-07-19T00:00Z,Right-arm fast-medium,Allrounder,Australia
Andrew Crook,Andrew Richard Crook,M,45,1980-10-14T00:00Z,Right-arm offbreak,Allrounder,Australia
Stuart Clark,Stuart Rupert Clark,M,50,1975-09-28T00:00Z,Right-arm fast-medium,Bowler,Australia
Adam Dale,Adam Craig Dale,M,57,1968-12-30T00:00Z,Right-arm fast-medium,Bowler,Australia
Lee Carseldine,Lee Andrew Carseldine,M,50,1975-11-17T00:00Z,Left-arm medium,Allrounder,Australia
Rick Darling,Warrick Maxwell Darling,M,69,1957-05-01T00:00Z,,Opening batter,Australia
Dan Cullen,Daniel James Cullen,M,42,1984-04-10T00:00Z,Right-arm offbreak,Bowler,Australia
Alan Connolly,Alan Norman Connolly,M,86,1939-06-29T00:00Z,Right-arm fast-medium,Bowler,Australia
Adam Crosthwaite,Adam John Crosthwaite,M,41,1984-09-22T00:00Z,Legbreak googly,Middle-order batter,Australia
Simon Davis,Simon Peter Davis,M,66,1959-11-08T00:00Z,Right-arm fast-medium,Bowler,Australia
Joe Dawes,Joseph Henry Dawes,M,55,1970-08-29T00:00Z,Right-arm fast-medium,Unknown,Australia
George Bailey,George John Bailey,M,43,1982-09-07T00:00Z,Right-arm medium,Top-order batter,Australia
Shane Deitz,Shane Alan Deitz,M,51,1975-05-04T00:00Z,Legbreak googly,Wicketkeeper batter,Australia
Geoff Dymock,Geoffrey Dymock,M,80,1945-07-21T00:00Z,Left-arm fast-medium,Bowler,Australia
Ian Davis,Ian Charles Davis,M,72,1953-06-25T00:00Z,,Unknown,Australia
Trevor Chappell,Trevor Martin Chappell,M,73,1952-10-12T00:00Z,Right-arm medium,Batter,Australia
Greg Dyer,Gregory Charles Dyer,M,67,1959-03-16T00:00Z,,Wicketkeeper batter,Australia
John Dyson,John Dyson,M,71,1954-06-11T00:00Z,,Opening batter,Australia
Michael Dighton,Michael Gray Dighton,M,50,1976-04-24T00:00Z,Right-arm medium,Opening batter,Australia
Liam Davis,Liam Murray Davis,M,41,1984-08-02T00:00Z,Right-arm fast-medium,Opening batter,Australia
Xavier Doherty,Xavier John Doherty,M,43,1982-11-22T00:00Z,Slow left-arm orthodox,Bowler,Australia
Brett Dorey,Brett Raymond Dorey,M,48,1977-10-03T00:00Z,Right-arm fast-medium,Bowler,Australia
Gerard Denton,Gerard John Denton,M,50,1975-08-07T00:00Z,Right-arm fast-medium,Bowler,Australia
Steven Crook,Steven Paul Crook,M,42,1983-05-28T00:00Z,Right-arm fast-medium,Bowling allrounder,Australia
Ross Edwards,Ross Edwards,M,83,1942-12-01T00:00Z,,Middle-order batter,Australia
Phil Emery,Philip Allen Emery,M,61,1964-06-25T00:00Z,,Wicketkeeper batter,Australia
Chris Duval,Chris John Duval,M,42,1983-08-03T00:00Z,Right-arm fast-medium,Bowler,Australia
Wally Edwards,Walter John Edwards,M,76,1949-12-23T00:00Z,Legbreak,Unknown,Australia
Adam Gilchrist,Adam Craig Gilchrist,M,54,1971-11-14T00:00Z,Right-arm offbreak,Wicketkeeper batter,Australia
Jason Gillespie,Jason Neil Gillespie,M,51,1975-04-19T00:00Z,Right-arm fast,Bowler,Australia
Callum Ferguson,Callum James Ferguson,M,41,1984-11-21T00:00Z,Right-arm medium,Middle-order batter,Australia
Matthew Elliott,Matthew Thomas Gray Elliott,M,54,1971-09-28T00:00Z,Left-arm medium,Opening batter,Australia
Michael Di Venuto,Michael James Di Venuto,M,52,1973-12-12T00:00Z,Right-arm medium,Opening batter,Australia
Tony Dodemaide,Anthony Ian Christopher Dodemaide,M,62,1963-10-05T00:00Z,Right-arm fast-medium,Bowler,Australia
Brett Geeves,Brett Geeves,M,43,1982-06-13T00:00Z,Right-arm fast-medium,Bowler,Australia
Brendan Drew,Brendan Gerard Drew,M,42,1983-12-16T00:00Z,Right-arm fast-medium,Bowler,Australia
Mark Divin,Mark Andrew Divin,M,46,1980-02-06T00:00Z,Right-arm fast-medium,Unknown,Australia
Shaun Graf,Shaun Francis Graf,M,68,1957-05-19T00:00Z,Right-arm fast-medium,Allrounder,Australia
Dan Christian,Daniel Trevor Christian,M,43,1983-05-04T00:00Z,Right-arm fast-medium,Allrounder,Australia
Gary Gilmour,Gary John Gilmour,M,62,1951-06-26T00:00Z,Left-arm fast-medium,Unknown,Australia
Jeff Hammond,Jeffrey Robert Hammond,M,76,1950-04-19T00:00Z,Right-arm fast-medium,Unknown,Australia
Adam Griffith,Adam Richard Griffith,M,48,1978-02-11T00:00Z,Right-arm fast-medium,Unknown,Australia
Theo Doropoulos,Theo Paul Doropoulos,M,41,1985-04-25T00:00Z,Right-arm fast-medium,Unknown,Australia
Damien Fleming,Damien William Fleming,M,56,1970-04-24T00:00Z,Right-arm fast-medium,Bowler,Australia
Matthew Hayden,Matthew Lawrence Hayden,M,54,1971-10-29T00:00Z,Right-arm medium,Opening batter,Australia
Mark Higgs,Mark Anthony Higgs,M,49,1976-06-30T00:00Z,Slow left-arm orthodox,Unknown,Australia
Rodney Hogg,Rodney Malcolm Hogg,M,75,1951-03-05T00:00Z,Right-arm fast,Bowler,Australia
Bob Holland,Robert George Holland,M,70,1946-10-19T00:00Z,Legbreak googly,Unknown,Australia
James Hopes,James Redfern Hopes,M,47,1978-10-24T00:00Z,Right-arm medium,Allrounder,Australia
Mark Harrity,Mark Andrew Harrity,M,52,1974-03-09T00:00Z,Left-arm fast,Bowler,Australia
Nathan Hauritz,Nathan Michael Hauritz,M,44,1981-10-18T00:00Z,Right-arm offbreak,Bowler,Australia
Daniel Harris,Daniel Joseph Harris,M,46,1979-12-31T00:00Z,Right-arm medium,Unknown,Australia
Andrew Hilditch,Andrew Mark Jefferson Hilditch,M,69,1956-05-20T00:00Z,Right-arm medium,Opening batter,Australia
Dave Gilbert,David Robert Gilbert,M,65,1960-12-29T00:00Z,Right-arm fast-medium,Unknown,Australia
Kim Hughes,Kimberley John Hughes,M,72,1954-01-26T00:00Z,Right-arm medium,Top-order batter,Australia
Tom Hogan,Tom George Hogan,M,69,1956-09-23T00:00Z,Slow left-arm orthodox,Bowler,Australia
Shane Harwood,Shane Michael Harwood,M,52,1974-03-01T00:00Z,Right-arm fast-medium,Bowler,Australia
Ian Harvey,Ian Joseph Harvey,M,54,1972-04-10T00:00Z,Right-arm medium,Allrounder,Australia
Alan Hurst,Alan George Hurst,M,75,1950-07-15T00:00Z,Right-arm fast,Unknown,Australia
Ben Edmondson,Ben Matthew Edmondson,M,47,1978-09-28T00:00Z,Right-arm fast-medium,Bowler,Australia
David Hookes,David William Hookes,M,48,1955-05-03T00:00Z,,Middle-order batter,Australia
Aaron Heal,Aaron Keith Heal,M,43,1983-03-13T00:00Z,Slow left-arm orthodox,Bowler,Australia
Michael Hussey,Michael Edward Killeen Hussey,M,50,1975-05-27T00:00Z,Right-arm medium,Middle-order batter,Australia
Brad Haddin,Bradley James Haddin,M,48,1977-10-23T00:00Z,,Wicketkeeper batter,Australia
Ryan Harris,Ryan James Harris,M,46,1979-10-11T00:00Z,Right-arm fast,Bowler,Australia
Mathew Inness,Mathew William Hunter Inness,M,48,1978-01-13T00:00Z,Left-arm fast-medium,Unknown,Australia
Ben Hilfenhaus,Benjamin William Hilfenhaus,M,43,1983-03-15T00:00Z,Right-arm fast-medium,Bowler,Australia
Stewart Heaney,Stewart Paul Heaney,M,45,1980-10-17T00:00Z,Right-arm offbreak,Unknown,Australia
Mitchell Johnson,Mitchell Guy Johnson,M,44,1981-11-02T00:00Z,Left-arm fast,Bowler,Australia
Matthew Gale,Matthew Geoffrey Gale,M,42,1983-11-28T00:00Z,Right-arm fast-medium,Unknown,Australia
Terry Jenner,Terrence James Jenner,M,66,1944-09-08T00:00Z,Legbreak googly,Unknown,Australia
Merv Hughes,Mervyn Gregory Hughes,M,64,1961-11-23T00:00Z,Right-arm fast,Bowler,Australia
Moises Henriques,Moises Constantino Henriques,M,39,1987-02-01T00:00Z,Right-arm fast-medium,Allrounder,Australia
Trent Johnston,David Trent Johnston,M,52,1974-04-29T00:00Z,Right-arm fast-medium,Bowler,Ireland
Bradley Ipson,Bradley Keith Ipson,M,45,1980-09-17T00:00Z,Slow left-arm orthodox,Unknown,Australia
Brendon Julian,Brendon Paul Julian,M,55,1970-08-10T00:00Z,Left-arm fast-medium,Allrounder,Australia
David Hussey,David John Hussey,M,48,1977-07-15T00:00Z,Right-arm offbreak,Allrounder,Australia
Phil Jaques,Philip Anthony Jaques,M,47,1979-05-03T00:00Z,Left-arm medium,Opening batter,Australia
Dean Jones,Dean Mervyn Jones,M,59,1961-03-24T00:00Z,Right-arm offbreak,Top-order batter,Australia
Brad Hodge,Bradley John Hodge,M,51,1974-12-29T00:00Z,Right-arm offbreak,Top-order batter,Australia
Simon Katich,Simon Mathew Katich,M,50,1975-08-21T00:00Z,Left-arm wrist-spin,Batter,Australia
Michael Kasprowicz,Michael Scott Kasprowicz,M,54,1972-02-10T00:00Z,Right-arm fast-medium,Bowler,Australia
Matt Johnston,Matthew James Johnston,M,40,1985-10-15T00:00Z,Right-arm medium,Allrounder,Australia
Martin Kent,Martin Francis Kent,M,72,1953-11-23T00:00Z,,Unknown,Australia
Robbie Kerr,Robert Byers Kerr,M,64,1961-06-16T00:00Z,Legbreak googly,Unknown,Australia
Trent Kelly,Trent Peter Kelly,M,42,1984-03-24T00:00Z,Right-arm fast-medium,Unknown,Australia
Jason Krejza,Jason John Krejza,M,43,1983-01-14T00:00Z,Right-arm offbreak,Bowler,Australia
Justin Langer,Justin Lee Langer,M,55,1970-11-21T00:00Z,Right-arm medium,Opening batter,Australia
Bruce Laird,Bruce Malcolm Laird,M,75,1950-11-21T00:00Z,,Opening batter,Australia
Trevor Laughlin,Trevor John Laughlin,M,75,1951-01-30T00:00Z,Right-arm medium,Unknown,Australia
Bill Lawry,William Morris Lawry,M,89,1937-02-11T00:00Z,Left-arm medium,Opening batter,Australia
Stuart Law,Stuart Grant Law,M,57,1968-10-18T00:00Z,Right-arm medium,Top-order batter,Australia
Geoff Lawson,Geoffrey Francis Lawson,M,68,1957-12-07T00:00Z,Right-arm fast,Bowler,Australia
Chris Hartley,Christopher Desmond Hartley,M,43,1982-05-24T00:00Z,,Unknown,Australia
Brad Knowles,Bradley Aaron Knowles,M,44,1981-10-29T00:00Z,Right-arm fast-medium,Unknown,Australia
Shane Lee,Shane Lee,M,52,1973-08-08T00:00Z,Right-arm medium,Allrounder,Australia
Ian Healy,Ian Andrew Healy,M,62,1964-04-30T00:00Z,,Wicketkeeper batter,Australia
Dennis Lillee,Dennis Keith Lillee,M,76,1949-07-18T00:00Z,Right-arm fast,Bowler,Australia
Michael Klinger,Michael Klinger,M,45,1980-07-04T00:00Z,,Batter,Australia
Mick Lewis,Michael Llewellyn Lewis,M,51,1974-06-29T00:00Z,Right-arm fast-medium,Bowler,Australia
Rod Marsh,Rodney William Marsh,M,74,1947-11-04T00:00Z,Right-arm offbreak,Wicketkeeper batter,Australia
Martin Love,Martin Lloyd Love,M,52,1974-03-30T00:00Z,Right-arm offbreak,Top-order batter,Australia
Mick Malone,Michael Francis Malone,M,75,1950-10-09T00:00Z,Right-arm fast-medium,Unknown,Australia
