player,pWAR_final,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,pWAR,WAR_recent,balls_recent,pWAR_base,chg,WAR
Jasprit Bumrah,5.715,MI,Bowler,18,1,0,retained,1677,1357,1984.807317,IPL+T20I,20,852,10,Death+Middle+Powerplay,pace bowler,Tail,5.43,4.11,805,6,-0.57,6
Bhuvneshwar Kumar,5.225,RCB,Bowler,10.75,1,0,retained,1901,0,1901,IPL only,80,914,9,Death+Powerplay,pace bowler,Tail,5.31,6,907,5.02,0.29,5.14
Sunil Narine,5.1,KKR,Allrounder,12,1,1,retained,2158,0,2158,IPL only,446,812,2,Middle,spin bowler,Opener,4.83,3.86,900,5.24,-0.41,5.37
Heinrich Klaasen,4.905,SRH,WK-Batter,23,1,1,retained,1834,216,1882.995122,IPL+T20I,892,,5,,,Middle,4.91,5.14,942,4.81,0.1,4.9
Shreyas Iyer,4.45,PBKS,Batter,26.75,1,0,retained,1646,0,1646,IPL only,823,,4,,,Middle,4.39,4.36,823,4.4,-0.01,4.51
Abhishek Sharma,4.29,SRH,Allrounder,14,1,0,retained,1642,1671,2021.031707,IPL+T20I,694,137,2,Middle+Powerplay,spin bowler,Opener,4.13,3.19,811,4.53,-0.4,4.45
Sai Sudharsan,4.26,GT,Batter,8.5,1,0,retained,2314,0,2314,IPL only,1182,,1,,,Opener,4.24,4.4,1132,4.17,0.07,4.28
Shubman Gill,4.22,GT,Batter,16.5,1,0,retained,2008,606,2145.458537,IPL+T20I,1001,,2,,,Opener,4.2,4.23,1007,4.19,0.01,4.24
Jofra Archer,4.065,RR,Bowler,12.5,1,1,retained,1436,1351,1742.446341,IPL+T20I,71,516,8,Death+Middle+Powerplay,pace bowler,Lower,4.18,4.68,849,3.97,0.21,3.95
Sanju Samson,3.99,CSK,WK-Batter,18,1,0,traded,1514,1039,1749.67561,IPL+T20I,803,,2,,,Opener,3.96,3.8,711,4.03,-0.07,4.02
Vaibhav Sooryavanshi,4.051,RR,Batter,1.1,0,0,retained,798,0,798,IPL only,306,,2,,,Opener,3.93,4.01,492,3.9,0.03,3.99
Mohammed Siraj,3.91,GT,Bowler,12.25,1,0,retained,1825,201,1870.592683,IPL+T20I,15,930,11,Death+Powerplay,pace bowler,Tail,3.81,3.5,880,3.94,-0.13,4.01
Rajat Patidar,3.81,RCB,Batter,11,1,0,retained,1158,0,1158,IPL only,607,,4,,,Middle,3.74,3.64,551,3.79,-0.05,3.88
Virat Kohli,3.8,RCB,Batter,21,1,0,retained,2083,151,2117.25122,IPL+T20I,1165,,2,,,Opener,3.72,3.57,918,3.79,-0.07,3.88
Varun Chakravarthy,3.74,KKR,Bowler,12,1,0,retained,1429,1697,1813.929268,IPL+T20I,2,776,11,Middle,spin bowler,Tail,3.55,2.5,651,4,-0.45,3.93
Suryakumar Yadav,3.685,MI,Batter,16.35,1,0,retained,1465,1536,1813.409756,IPL+T20I,768,,4,,,Middle,3.61,3.11,697,3.82,-0.21,3.76
Arshdeep Singh,3.605,PBKS,Bowler,18,1,0,retained,1779,1741,2173.909756,IPL+T20I,10,905,10.5,Death+Middle+Powerplay,pace bowler,Tail,3.62,3.48,864,3.68,-0.06,3.59
Riyan Parag,3.58,RR,Allrounder,14,1,0,retained,1608,145,1640.890244,IPL+T20I,759,162,4,Middle,spin bowler,Middle,3.35,2.46,687,3.73,-0.38,3.81
Jos Buttler,3.53,GT,WK-Batter,15.75,1,1,retained,1635,1247,1917.856098,IPL+T20I,825,,3,,,No3,3.59,3.78,810,3.51,0.08,3.47
Nicholas Pooran,3.465,LSG,WK-Batter,21,1,1,retained,1258,282,1321.965854,IPL+T20I,695,,4,,,Middle,3.28,2.55,563,3.59,-0.31,3.65
Ishan Kishan,3.375,SRH,WK-Batter,11.25,1,0,retained,1359,696,1516.873171,IPL+T20I,673,1,3,Death,spin bowler,No3,3.45,3.78,685,3.31,0.14,3.3
Axar Patel,3.25,DC,Allrounder,16.5,1,0,retained,2124,1803,2532.973171,IPL+T20I,435,696,5,Middle+Powerplay,spin bowler,Middle,3.16,2.54,993,3.42,-0.26,3.34
Priyansh Arya,3.25,PBKS,Batter,3.8,0,0,retained,1051,0,1051,IPL only,450,,1,,,Opener,3.2,3.15,601,3.22,-0.02,3.3
KL Rahul,3.2,DC,WK-Batter,14,1,0,retained,1906,0,1906,IPL only,1010,,2,,,Opener,3.25,3.68,896,3.07,0.18,3.15
Prabhsimran Singh,3.03,PBKS,Batter,4,0,0,retained,1631,0,1631,IPL only,809,,2,,,Opener,3.08,3.46,822,2.91,0.17,2.98
Ravindra Jadeja,2.42,RR,Allrounder,14,1,0,traded,2266,106,2290.043902,IPL+T20I,551,668,5,Middle,spin bowler,Middle,2.99,3.33,1047,2.85,0.14,2.92
Jason Holder,2.935,GT,Allrounder,7,1,1,sold,534,2243,1042.778049,IPL+T20I,44,134,6,Middle,pace bowler,Lower,3,2.95,356,3.02,-0.02,2.87
Mitchell Marsh,2.855,LSG,Allrounder,3.4,1,1,retained,1602,1089,1849.017073,IPL+T20I,671,48,1,Death+Middle+Powerplay,pace bowler,Opener,2.94,3.21,883,2.82,0.12,2.77
Naman Dhir,2.835,MI,Batter,5.25,0,0,retained,1037,0,1037,IPL only,419,52,4,Death+Middle,spin bowler,Middle,2.93,3.51,566,2.68,0.25,2.74
Pat Cummins,2.65,SRH,Allrounder,18,1,1,retained,1589,195,1633.231707,IPL+T20I,170,786,8,Death+Middle+Powerplay,pace bowler,Lower,2.58,2.36,633,2.67,-0.09,2.72
Krunal Pandya,2.64,RCB,Allrounder,5.75,1,0,retained,1921,0,1921,IPL only,285,678,7,Middle,spin bowler,Lower,2.66,2.91,958,2.55,0.11,2.62
Anshul Kamboj,2.52,CSK,Bowler,3.4,1,0,retained,1164,0,1164,IPL only,44,434,9,Death+Middle+Powerplay,pace bowler,Tail,2.59,3.07,686,2.38,0.21,2.45
Tim David,2.33,RCB,Batter,3,1,1,retained,726,599,861.8707317,IPL+T20I,371,6,6,Middle,spin bowler,Lower,2.33,2.27,349,2.35,-0.02,2.33
Shashank Singh,2.12,PBKS,Allrounder,5.5,0,0,retained,911,0,911,IPL only,483,48,6,Death+Middle,mixture/unknown,Lower,2.06,1.93,380,2.12,-0.06,2.18
Kagiso Rabada,2.04,GT,Bowler,10.75,1,1,retained,1368,1072,1611.160976,IPL+T20I,52,612,9,Death+Middle+Powerplay,pace bowler,Tail,2.07,2.11,704,2.06,0.01,2.01
Tilak Varma,2.015,MI,Batter,8,1,0,retained,1300,1491,1638.202439,IPL+T20I,700,4,5,Death,spin bowler,Middle,2.01,1.73,596,2.13,-0.12,2.02
Yashasvi Jaiswal,2.08,RR,Batter,18,1,0,retained,1567,170,1605.560976,IPL+T20I,823,,1,,,Opener,1.98,2.25,744,1.86,0.12,1.88
Rashid Khan,1.92,GT,Allrounder,18,1,1,retained,1889,1512,2231.965854,IPL+T20I,128,843,8,Death+Middle,spin bowler,Lower,1.91,1.59,918,2.05,-0.14,1.93
Prince Yadav,1.915,LSG,Bowler,0.3,0,0,retained,1035,0,1035,IPL only,11,383,10,Death+Middle+Powerplay,pace bowler,Tail,1.92,2.07,641,1.86,0.06,1.91
Noor Ahmad,1.87,CSK,Bowler,10,1,1,retained,1635,732,1801.039024,IPL+T20I,44,753,10,Middle,spin bowler,Tail,1.9,2.05,838,1.84,0.06,1.84
Ryan Rickelton,1.835,MI,WK-Batter,1,1,1,retained,1123,1000,1349.829268,IPL+T20I,460,,1,,,Opener,1.86,1.85,663,1.87,-0.01,1.81
Ashutosh Sharma,1.83,DC,Allrounder,3.8,0,0,retained,601,0,601,IPL only,318,,7,,,Lower,1.77,1.62,283,1.84,-0.07,1.89
Ayush Mhatre,1.83,CSK,Allrounder,0.3,0,0,retained,593,0,593,IPL only,240,,3,,,No3,1.83,1.92,353,1.79,0.04,1.83
Tristan Stubbs,1.82,DC,Batter,10,1,1,retained,1259,914,1466.321951,IPL+T20I,606,24,6,Middle,spin bowler,Lower,1.8,1.6,629,1.88,-0.08,1.84
Khaleel Ahmed,1.76,CSK,Bowler,4.8,1,0,retained,1174,86,1193.507317,IPL only,2,685,11,Death+Powerplay,pace bowler,Tail,1.76,1.58,487,1.84,-0.08,1.87
Angkrish Raghuvanshi,1.78,KKR,Batter,3,0,0,retained,1129,0,1129,IPL only,518,,3,,,No3,1.85,2.28,611,1.66,0.19,1.71
Josh Inglis,2.21,LSG,WK-Batter,8.6,1,1,sold,456,615,595.5,IPL+T20I,209,,3,,,No3,1.71,1.56,247,1.77,-0.06,1.76
Mohammed Shami,1.725,LSG,Bowler,10,1,0,traded,1222,84,1241.053659,IPL only,32,439,9,Middle+Powerplay,pace bowler,Tail,1.79,2.18,751,1.62,0.17,1.66
Eshan Malinga,1.984,SRH,Bowler,1.2,1,1,retained,1109,325,1182.719512,IPL+T20I,9,414,10,Death+Middle+Powerplay,pace bowler,Tail,1.73,1.83,686,1.69,0.04,1.71
Josh Hazlewood,2.064,RCB,Bowler,12.5,1,1,retained,1100,603,1236.778049,IPL+T20I,2,453,11,Death+Middle+Powerplay,pace bowler,Tail,1.69,1.58,645,1.74,-0.05,1.71
Trent Boult,0.862,MI,Bowler,12.5,1,1,retained,1315,106,1339.043902,IPL+T20I,23,752,9,Death+Middle+Powerplay,pace bowler,Tail,1.38,0.05,540,1.95,-0.57,1.99
Washington Sundar,1.655,GT,Allrounder,3.2,1,0,retained,1032,621,1172.860976,IPL+T20I,275,138,4,Middle,spin bowler,Middle,1.78,2.33,619,1.55,0.23,1.53
Cooper Connolly,1.64,PBKS,Allrounder,3,1,1,sold,741,452,843.5268293,IPL+T20I,247,,3,,,No3,1.72,2.13,494,1.54,0.18,1.56
Sameer Rizvi,1.41,DC,Batter,0.95,0,0,retained,714,0,714,IPL only,293,,4,,,Middle,1.67,2.03,421,1.51,0.16,1.55
Cameron Green,1.585,KKR,Batter,25.2,1,1,sold,1082,883,1282.290244,IPL+T20I,336,284,4,Death+Middle,pace bowler,Middle,1.59,1.52,462,1.62,-0.03,1.58
Mitchell Santner,1.58,MI,Allrounder,2,1,1,retained,920,2099,1396.114634,IPL+T20I,69,375,8,Middle+Powerplay,spin bowler,Lower,1.62,1.42,476,1.7,-0.08,1.54
Shivam Dube,1.68,CSK,Allrounder,12,1,0,retained,1210,1693,1594.021951,IPL+T20I,628,36,5,Middle,pace bowler,Middle,1.55,1.16,546,1.72,-0.17,1.59
