player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Jasprit Bumrah,5.715,5.43,4.11,MI,Bowler,18,1,0,retained,1677,1357,1984.807317,IPL+T20I,20,852,10,Death+Middle+Powerplay,pace bowler,Tail,805,6,-0.57,6
Bhuvneshwar Kumar,5.225,5.31,6,RCB,Bowler,10.75,1,0,retained,1901,0,1901,IPL only,80,914,9,Death+Powerplay,pace bowler,Tail,907,5.02,0.29,5.14
Sunil Narine,5.1,4.83,3.86,KKR,Allrounder,12,1,1,retained,2158,0,2158,IPL only,446,812,2,Middle,spin bowler,Opener,900,5.24,-0.41,5.37
Heinrich Klaasen,4.905,4.91,5.14,SRH,WK-Batter,23,1,1,retained,1834,216,1882.995122,IPL+T20I,892,,5,,,Middle,942,4.81,0.1,4.9
Shreyas Iyer,4.45,4.39,4.36,PBKS,Batter,26.75,1,0,retained,1646,0,1646,IPL only,823,,4,,,Middle,823,4.4,-0.01,4.51
Abhishek Sharma,4.29,4.13,3.19,SRH,Allrounder,14,1,0,retained,1642,1671,2021.031707,IPL+T20I,694,137,2,Middle+Powerplay,spin bowler,Opener,811,4.53,-0.4,4.45
Sai Sudharsan,4.26,4.24,4.4,GT,Batter,8.5,1,0,retained,2314,0,2314,IPL only,1182,,1,,,Opener,1132,4.17,0.07,4.28
Shubman Gill,4.22,4.2,4.23,GT,Batter,16.5,1,0,retained,2008,606,2145.458537,IPL+T20I,1001,,2,,,Opener,1007,4.19,0.01,4.24
Jofra Archer,4.065,4.18,4.68,RR,Bowler,12.5,1,1,retained,1436,1351,1742.446341,IPL+T20I,71,516,8,Death+Middle+Powerplay,pace bowler,Lower,849,3.97,0.21,3.95
Vaibhav Sooryavanshi,4.051,3.93,4.01,RR,Batter,1.1,0,0,retained,798,0,798,IPL only,306,,2,,,Opener,492,3.9,0.03,3.99
Sanju Samson,3.99,3.96,3.8,CSK,WK-Batter,18,1,0,traded,1514,1039,1749.67561,IPL+T20I,803,,2,,,Opener,711,4.03,-0.07,4.02
Mohammed Siraj,3.91,3.81,3.5,GT,Bowler,12.25,1,0,retained,1825,201,1870.592683,IPL+T20I,15,930,11,Death+Powerplay,pace bowler,Tail,880,3.94,-0.13,4.01
Rajat Patidar,3.81,3.74,3.64,RCB,Batter,11,1,0,retained,1158,0,1158,IPL only,607,,4,,,Middle,551,3.79,-0.05,3.88
Virat Kohli,3.8,3.72,3.57,RCB,Batter,21,1,0,retained,2083,151,2117.25122,IPL+T20I,1165,,2,,,Opener,918,3.79,-0.07,3.88
Varun Chakravarthy,3.74,3.55,2.5,KKR,Bowler,12,1,0,retained,1429,1697,1813.929268,IPL+T20I,2,776,11,Middle,spin bowler,Tail,651,4,-0.45,3.93
Suryakumar Yadav,3.685,3.61,3.11,MI,Batter,16.35,1,0,retained,1465,1536,1813.409756,IPL+T20I,768,,4,,,Middle,697,3.82,-0.21,3.76
Arshdeep Singh,3.605,3.62,3.48,PBKS,Bowler,18,1,0,retained,1779,1741,2173.909756,IPL+T20I,10,905,10.5,Death+Middle+Powerplay,pace bowler,Tail,864,3.68,-0.06,3.59
Riyan Parag,3.58,3.35,2.46,RR,Allrounder,14,1,0,retained,1608,145,1640.890244,IPL+T20I,759,162,4,Middle,spin bowler,Middle,687,3.73,-0.38,3.81
Jos Buttler,3.53,3.59,3.78,GT,WK-Batter,15.75,1,1,retained,1635,1247,1917.856098,IPL+T20I,825,,3,,,No3,810,3.51,0.08,3.47
Nicholas Pooran,3.465,3.28,2.55,LSG,WK-Batter,21,1,1,retained,1258,282,1321.965854,IPL+T20I,695,,4,,,Middle,563,3.59,-0.31,3.65
Ishan Kishan,3.375,3.45,3.78,SRH,WK-Batter,11.25,1,0,retained,1359,696,1516.873171,IPL+T20I,673,1,3,Death,spin bowler,No3,685,3.31,0.14,3.3
Priyansh Arya,3.25,3.2,3.15,PBKS,Batter,3.8,0,0,retained,1051,0,1051,IPL only,450,,1,,,Opener,601,3.22,-0.02,3.3
Axar Patel,3.25,3.16,2.54,DC,Allrounder,16.5,1,0,retained,2124,1803,2532.973171,IPL+T20I,435,696,5,Middle+Powerplay,spin bowler,Middle,993,3.42,-0.26,3.34
KL Rahul,3.2,3.25,3.68,DC,WK-Batter,14,1,0,retained,1906,0,1906,IPL only,1010,,2,,,Opener,896,3.07,0.18,3.15
Prabhsimran Singh,3.03,3.08,3.46,PBKS,Batter,4,0,0,retained,1631,0,1631,IPL only,809,,2,,,Opener,822,2.91,0.17,2.98
