Year,Player,From,To,Deal Type,Cash Given (INR Crore),Notes
2019,Quinton de Kock,RCB,MI,Cash,2.80,
2020,R Ashwin,PBKS,DC,Cash,7.60,
2020,Ajinkya Rahane,RR,DC,Cash,5.25,
2020,Trent Boult,DC,MI,Cash,3.20,
2020,Mayank Markande,MI,DC,Cash,1.40,
2021,Daniel Sams,DC,RCB,Cash,0.20,
2021,Harshal Patel,DC,RCB,Cash,0.20,
2023,Shardul Thakur,DC,KKR,Cash,10.75,
2023,Lockie Ferguson,GT,KKR,Cash,10.00,
2024,Cameron Green,MI,RCB,Cash,17.50,Highest disclosed cash trade
2024,Hardik Pandya,GT,MI,Cash,15.00,Plus undisclosed transfer fee
2024,Avesh Khan,LSG,RR,Swap,0.00,Swap with Padikkal
2024,Devdutt Padikkal,RR,LSG,Swap,0.00,Swap with Avesh
2024,Mayank Dagar,SRH,RCB,Swap,0.00,Swap with Shahbaz
2024,Shahbaz Ahmed,RCB,SRH,Swap,0.00,Swap with Dagar
2026,Mohammed Shami,SRH,LSG,Cash,10.00,
2026,Nitish Rana,RR,DC,Cash,4.20,
2026,Sherfane Rutherford,GT,MI,Cash,2.60,
2026,Shardul Thakur,LSG,MI,Cash,2.00,
2026,Arjun Tendulkar,MI,LSG,Cash,0.30,
2026,Mayank Markande,KKR,MI,Cash,0.30,
