player,salary,team,country,season,role,type
Sam Curran,₹18.5 Cr,PBKS,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2023,All-rounder,Retention
Pat Cummins,₹18 Cr,KKR,🇦🇺 Australia,2023,All-rounder,Auction
Cameron Green,₹17.5 Cr,MI,🇦🇺 Australia,2023,All-rounder,Auction
KL Rahul,₹17 Cr,LSG,🇮🇳 India,2023,WK-Batter,Retention
Ben Stokes,₹16.25 Cr,CSK,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2023,All-rounder,Auction
Ravindra Jadeja,₹16 Cr,CSK,🇮🇳 India,2023,All-rounder,Retention
Rishabh Pant,₹16 Cr,DC,🇮🇳 India,2023,WK-Batter,Retention
Nicholas Pooran,₹16 Cr,LSG,🇹🇹 West Indies (Trinidad),2023,WK-Batter,Retention
Rohit Sharma,₹16 Cr,MI,🇮🇳 India,2023,Batter,Retention
Ishan Kishan,₹15.25 Cr,MI,🇮🇳 India,2023,WK-Batter,Retention
Hardik Pandya,₹15 Cr,GT,🇮🇳 India,2023,All-rounder,Retention
Rashid Khan,₹15 Cr,GT,🇦🇫 Afghanistan,2023,Bowler,Retention
Virat Kohli,₹15 Cr,RCB,🇮🇳 India,2023,Batter,Retention
Deepak Chahar,₹14 Cr,CSK,🇮🇳 India,2023,Bowler,Retention
Sanju Samson,₹14 Cr,RR,🇮🇳 India,2023,WK-Batter,Retention
Harry Brook,₹13.25 Cr,SRH,🌍 Overseas,2023,Batter,Auction
Shreyas Iyer,₹12.25 Cr,KKR,🇮🇳 India,2023,Batter,Retention
MS Dhoni,₹12 Cr,CSK,🇮🇳 India,2023,WK-Batter,Retention
Andre Russell,₹12 Cr,KKR,🇯🇲 West Indies (Jamaica),2023,All-rounder,Retention
Jasprit Bumrah,₹12 Cr,MI,🇮🇳 India,2023,Bowler,Retention
Liam Livingstone,₹11.5 Cr,PBKS,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2023,All-rounder,Retention
Glenn Maxwell,₹11 Cr,RCB,🇦🇺 Australia,2023,All-rounder,Retention
Shardul Thakur,₹10.75 Cr,KKR,🇮🇳 India,2023,All-rounder,Auction
Wanindu Hasaranga,₹10.75 Cr,RCB,🌍 Overseas,2023,Bowler,Retention
Harshal Patel,₹10.75 Cr,RCB,🇮🇳 India,2023,Bowler,Retention
Lockie Ferguson,₹10 Cr,KKR,🌍 Overseas,2023,Bowler,Retention
Avesh Khan,₹10 Cr,LSG,🇮🇳 India,2023,Bowler,Retention
Prasidh Krishna,₹10 Cr,RR,🇮🇳 India,2023,Bowler,Retention
Jos Buttler,₹10 Cr,RR,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2023,WK-Batter,Retention
Kagiso Rabada,₹9.25 Cr,PBKS,🇿🇦 South Africa,2023,Bowler,Retention
Marcus Stoinis,₹9.2 Cr,LSG,🇦🇺 Australia,2023,All-rounder,Retention
Axar Patel,₹9 Cr,DC,🇮🇳 India,2023,All-rounder,Retention
Rahul Tewatia,₹9 Cr,GT,🇮🇳 India,2023,All-rounder,Retention
