team,player,role,detail_role,sal,source,overseas,capped
SRH,Liam Livingstone,Allrounder,OS|All-rounder|Lower,13.0,released,OS,
CSK,Matt Henry,Bowler,OS|Bowler|Powerplay+Middle,2.0,released,OS,
DC,Kyle Jamieson,Bowler,OS|All-rounder|Tail,2.0,released,OS,
PBKS,Xavier Bartlett,Bowler,OS|Bowler|Powerplay+Middle+Death,0.8,released,OS,
RR,Tushar Deshpande,Bowler,IN|Bowler|Powerplay+Middle+Death,6.5,released,IN,
RR,Ravi Bishnoi,Bowler,IN|Bowler|Middle+Death,7.2,released,IN,
LSG,Anrich Nortje,Bowler,OS|Bowler|Powerplay+Middle+Death,2.0,released,OS,
CSK,Matthew Short,Allrounder,OS|Batter|Middle,1.5,released,OS,
PBKS,Lockie Ferguson,Bowler,OS|Bowler|Powerplay+Death,2.0,released,OS,
RR,Kwena Maphaka,Bowler,OS|Bowler|Powerplay+Middle+Death,1.5,released,OS,
PBKS,Yash Thakur,Bowler,IN|Bowler|Powerplay+Middle+Death,1.6,released,IN,
KKR,Mustafizur Rahman,Bowler,Bowler,9.2,released,IN,
LSG,Akshat Raghuwanshi,Batter,Batter,2.2,released,IN,
KKR,Tim Seifert,WK-Batter,WK-Batter,1.5,released,IN,
GT,Glenn Phillips,Allrounder,OS|All-rounder|Middle,2.0,released,OS,
MI,Mitchell Santner,Allrounder,OS|All-rounder|Lower,2.0,released,OS,
CSK,Prashant Veer,Allrounder,IN|All-rounder|Lower,14.2,released,IN,
RR,Shimron Hetmyer,Batter,OS|Batter|Middle,11.0,released,OS,
RCB,Abhinandan Singh,Bowler,IN|Bowler|Powerplay+Middle+Death,0.3,released,IN,
MI,Quinton de Kock,WK-Batter,OS|WK-Batter|Opener,1.0,released,OS,
MI,Robin Minz,WK-Batter,IN|WK-Batter|Lower,0.65,released,IN,
KKR,Ramandeep Singh,Allrounder,IN|All-rounder|Lower,4.0,released,IN,
LSG,Manimaran Siddharth,Bowler,IN|Bowler|Middle+Death,0.75,released,IN,
SRH,Harshal Patel,Bowler,IN|Bowler|Middle+Death,8.0,released,IN,
MI,Hardik Pandya,Allrounder,IN|All-rounder|Middle,16.35,released,IN,
RR,Sandeep Sharma,Bowler,IN|Bowler|Powerplay+Middle+Death,4.0,released,IN,
GT,Nishant Sindhu,Allrounder,IN|All-rounder|Middle,0.3,released,IN,
KKR,Rahul Tripathi,Batter,IN|Batter|Top,0.75,released,IN,
DC,Mukesh Kumar,Bowler,IN|Bowler|Powerplay+Middle+Death,8.0,released,IN,
DC,Abishek Porel,WK-Batter,WK-Batter,4.0,released,IN,
MI,Deepak Chahar,Bowler,IN|Bowler|Powerplay+Middle+Death,9.25,released,IN,
DC,Sahil Parakh,Batter,IN|Batter|Opener,0.3,released,IN,
GT,Ishant Sharma,Bowler,IN|Bowler|Powerplay+Middle+Death,0.75,released,IN,
DC,Karun Nair,Batter,IN|Batter|Middle,0.5,released,IN,
LSG,Rishabh Pant,WK-Batter,IN|WK-Batter|Top,27.0,released,IN,
MI,Danish Malewar,Batter,IN|Bowler|unspec,0.3,released,IN,
LSG,Wanindu Hasaranga,Allrounder,OS|Bowler|Middle,2.0,released,OS,
KKR,Rachin Ravindra,Allrounder,OS|Batter|Opener,2.0,released,OS,
MI,Trent Boult,Bowler,OS|Bowler|Powerplay+Middle+Death,12.5,released,OS,
SRH,Jaydev Unadkat,Bowler,IN|Bowler|Powerplay+Middle+Death,1.0,released,IN,
GT,Rahul Tewatia,Allrounder,IN|All-rounder|Lower,4.0,released,IN,
RCB,Yash Dayal,Bowler,IN|Bowler|Powerplay+Middle+Death,5.0,released,IN,
CSK,Shreyas Gopal,Bowler,IN|Bowler|Middle,0.3,released,IN,
DC,Ben Duckett,Batter,OS|Batter|Opener,2.0,released,OS,
GT,Luke Wood,Bowler,OS|Bowler|Powerplay,0.75,released,OS,
KKR,Umran Malik,Bowler,IN|Bowler|Middle+Death,0.75,released,IN,
MI,Mayank Rawat,Batter,IN|Batter|Lower,0.3,released,IN,
LSG,Matthew Breetzke,Batter,OS|Batter|unspec,0.75,released,OS,
