team,player,role,sal,os,origin,bat_rate,bowl_rate,ipl_bf,ipl_bb,src,bat_rate_v,bowl_rate_v,bat_source,reliability_score
CSK,Akeal Hosein,Bowler,2.0,1.0,squad_2026,0.1139822229605511,0.0224664029245548,12.0,156.0,IPL,0.1184708585482811,0.0224664029245548,T20I,0.63
CSK,Aman Khan,Allrounder,0.4,0.0,squad_2026,0.1501053020943553,0.0720708021496652,,,Role Prior + SMAT,0.1501053020943553,0.0720708021496652,Role Prior + SMAT,0.32
CSK,Anshul Kamboj,Bowler,3.4,0.0,squad_2026,0.0502897311009295,0.1514709535215216,44.0,434.0,IPL,,,,
CSK,Ayush Mhatre,Allrounder,0.3,0.0,squad_2026,0.3087250372616727,0.0530082846589715,240.0,0.0,IPL,,,,
CSK,Dewald Brevis,Batter,2.2,1.0,squad_2026,0.1371613425459019,0.0530082846589715,249.0,0.0,IPL,,,,
CSK,Gurjapneet Singh,Bowler,2.2,0.0,squad_2026,0.1216510655589099,0.0615356820910006,0.0,109.0,IPL,,,,
CSK,Jamie Overton,Allrounder,1.5,1.0,squad_2026,0.1996668712200748,0.0383314818662339,93.0,204.0,IPL,,,,
CSK,Kartik Sharma,WK-Batter,14.2,0.0,squad_2026,0.0526812464772515,0.0530082846589715,140.0,0.0,IPL,0.0526812464772514,,IPL,0.62
CSK,Khaleel Ahmed,Bowler,4.8,0.0,squad_2026,0.1130529782730547,0.091337892986623,2.0,885.0,IPL,,,,
CSK,MS Dhoni,WK-Batter,4.0,0.0,squad_2026,0.1723445021856486,0.0530082846589715,275.0,0.0,IPL,,,,
CSK,Mukesh Choudhary,Bowler,0.3,0.0,squad_2026,0.1216510655589099,-0.0256907515217829,0.0,145.0,IPL,,,,
CSK,Nathan Ellis,Bowler,2.0,1.0,squad_2026,0.0860262775004199,0.1549112150875426,7.0,278.0,IPL,,,,
CSK,Noor Ahmad,Bowler,10.0,1.0,squad_2026,-0.1384567691272849,0.1198681918573719,53.0,1037.0,IPL,,,,
CSK,Rahul Chahar,Bowler,5.2,0.0,squad_2026,0.0639813004430092,0.0276886239356185,24.0,515.0,IPL,-0.3291443982816303,0.0276886239356185,Role Prior,0.93
CSK,Ramakrishna Ghosh,Allrounder,0.3,0.0,squad_2026,0.1216510655589099,0.0742496094082511,0.0,18.0,IPL_thin,,,,
CSK,Ruturaj Gaikwad,Batter,18.0,0.0,squad_2026,0.1595968071774424,0.0530082846589715,1130.0,0.0,IPL,,,,
CSK,Sanju Samson,,,,replacement,0.236966208118182,0.0530082846589715,1039.0,0.0,IPL,,,,
CSK,Sarfaraz Khan,Batter,0.75,0.0,squad_2026,0.1062723612653588,0.0530082846589715,157.0,0.0,IPL,0.1062723612653588,,IPL,0.63
CSK,Shivam Dube,Allrounder,12.0,0.0,squad_2026,0.1837557375946169,-0.129081952179412,892.0,36.0,IPL,,,,
CSK,Urvil Patel,WK-Batter,0.3,0.0,squad_2026,0.277107585157989,0.0530082846589715,79.0,0.0,IPL_thin,,,,
CSK,Zakary Foulkes,Allrounder,0.75,1.0,squad_2026,0.1212247809667457,0.063537980609531,,,Role Prior,0.1212247809667457,0.063537980609531,Role Prior,0.36
DC,Ajay Jadav Mandal,Allrounder,0.3,0.0,squad_2026,,,,,Role Prior,,,,
DC,Ashutosh Sharma,Allrounder,3.8,0.0,squad_2026,0.1814972240267085,0.0530082846589715,318.0,0.0,IPL,,,,
DC,Auqib Nabi,Allrounder,8.4,0.0,squad_2026,0.1212247809667457,0.0697944128253414,4.0,69.0,Role Prior,0.1212247809667457,0.0697944128253414,Role Prior,
DC,Axar Patel,Allrounder,16.5,0.0,squad_2026,0.0381390449938546,0.1923402076364538,638.0,978.0,IPL,,,,
DC,David Miller,Batter,2.0,1.0,squad_2026,0.0179643337267043,0.0530082846589715,549.0,0.0,IPL,0.0179643337267043,,IPL,0.96
DC,Dushmantha Chameera,Bowler,0.75,1.0,squad_2026,0.0587210771366613,-0.1527442816493792,17.0,133.0,IPL,,,,
DC,KL Rahul,WK-Batter,14.0,0.0,squad_2026,0.2460853602076003,0.0530082846589715,1252.0,0.0,IPL,,,,
DC,Kuldeep Yadav,Bowler,13.25,0.0,squad_2026,-0.1450465391419133,0.1308124875211278,126.0,1070.0,IPL,,,,
DC,Lungi Ngidi,Bowler,2.0,1.0,squad_2026,0.0649301001049011,0.1177751464179828,9.0,250.0,IPL,-0.3291443982816303,0.1177751464179828,Role Prior,0.71
DC,Madhav Tiwari,Allrounder,0.4,0.0,squad_2026,0.1206270153617656,0.034442058187248,12.0,30.0,IPL_thin,,,,
DC,Mitchell Starc,Bowler,11.75,1.0,squad_2026,-0.0254006037192428,0.0675876924007953,23.0,572.0,IPL,,,,
DC,Nitish Rana,,,,replacement,0.101296769610961,0.0490062748432405,600.0,89.0,IPL,,,,
DC,Pathum Nissanka,Batter,4.0,1.0,squad_2026,0.1143367990000482,0.0530082846589715,175.0,0.0,IPL,0.1143367990000482,,IPL,0.65
DC,Prithvi Shaw,Batter,0.75,0.0,squad_2026,0.0404148655421632,0.0530082846589715,206.0,0.0,IPL,0.0404148655421632,,IPL,0.67
DC,Sameer Rizvi,Batter,0.95,0.0,squad_2026,0.0908381563305897,0.0530082846589715,293.0,0.0,IPL,,,,
DC,T Natarajan,Bowler,10.75,0.0,squad_2026,0.1091524624355909,0.0749709783728572,2.0,794.0,IPL,,,,
DC,Tripurana Vijay,Bowler,0.3,0.0,squad_2026,,,,,Role Prior,,,,
DC,Tristan Stubbs,Batter,10.0,1.0,squad_2026,0.1154221746576859,0.019727379493912,637.0,36.0,IPL,,,,
DC,Vipraj Nigam,Bowler,0.5,0.0,squad_2026,0.1566602974236498,0.0240749957636108,89.0,293.0,IPL,,,,
GT,Anuj Rawat,WK-Batter,0.3,0.0,squad_2026,0.0850717160333911,0.0530082846589715,148.0,0.0,IPL,,,,
GT,Arshad Khan,Bowler,1.3,0.0,squad_2026,0.0769504294391431,0.0433363936916749,93.0,335.0,IPL,,,,
GT,Ashok Sharma,Bowler,0.9,0.0,squad_2026,0.0996585783217973,-0.072732934413,4.0,127.0,IPL,-0.2461570172070884,-0.072732934413,Role Prior + SMAT,0.61
GT,Gurnoor Brar,Bowler,1.3,0.0,squad_2026,0.1216510655589099,-0.0272102415643073,0.0,20.0,IPL_thin,,,,
GT,Jason Holder,Allrounder,7.0,1.0,squad_2026,0.0167432575854927,0.2749586196865859,55.0,305.0,IPL,0.1536193600859761,0.2749586196865859,T20I,0.75
GT,Jayant Yadav,Allrounder,0.75,0.0,squad_2026,0.1216510655589099,0.0723077613406858,0.0,24.0,IPL_thin,,,,
GT,Jos Buttler,WK-Batter,15.75,1.0,squad_2026,0.1458086110576736,0.0530082846589715,1107.0,0.0,IPL,,,,
GT,Kagiso Rabada,Bowler,10.75,1.0,squad_2026,0.0224111974777004,0.1330539314868156,54.0,753.0,IPL,,,,
GT,Kumar Kushagra,WK-Batter,0.65,0.0,squad_2026,0.0300557763322846,0.0530082846589715,21.0,0.0,IPL_thin,,,,
GT,M Shahrukh Khan,Allrounder,4.0,0.0,squad_2026,0.1474667096412688,0.0369278327062295,302.0,18.0,Role Prior,,,,
GT,Manav Suthar,Allrounder,0.3,0.0,squad_2026,0.1036036762919049,-0.0602438514373889,2.0,48.0,IPL_thin,,,,
GT,Mohammed Siraj,Bowler,12.25,0.0,squad_2026,0.0710643214917983,0.2071207481800213,17.0,1232.0,IPL,,,,
GT,Prasidh Krishna,Bowler,9.5,0.0,squad_2026,0.1216510655589099,0.2286710751235566,0.0,528.0,IPL,,,,
GT,Prithvi Raj Yarra,Bowler,0.3,0.0,squad_2026,-0.253939941610228,0.156542315570694,,,Role Prior,-0.253939941610228,0.156542315570694,Role Prior,
GT,Rashid Khan,Allrounder,18.0,1.0,squad_2026,0.0507053908595119,0.1170922555110337,188.0,1245.0,IPL,,,,
GT,Sai Kishore,Bowler,2.0,0.0,squad_2026,0.0776677193039237,-0.0785426304952828,16.0,351.0,Role Prior,,,,
GT,Sai Sudharsan,Batter,8.5,0.0,squad_2026,0.261602577004478,0.0530082846589715,1438.0,0.0,IPL,,,,
GT,Shubman Gill,Batter,16.5,0.0,squad_2026,0.2467052063581302,0.0530082846589715,1565.0,0.0,IPL,,,,
GT,Tom Banton,WK-Batter,2.0,1.0,squad_2026,0.1394706877894941,,,,T20I,0.1394706877894941,,T20I,0.5
GT,Washington Sundar,Allrounder,3.2,0.0,squad_2026,0.0695777123493001,-0.0498313649222603,335.0,244.0,IPL,,,,
KKR,Ajinkya Rahane,Batter,1.5,0.0,squad_2026,0.0749743423344136,0.0530082846589715,814.0,0.0,IPL,,,,
KKR,Akash Deep,Bowler,1.0,0.0,squad_2026,0.1336062005828836,-0.3169184380728749,12.0,167.0,IPL,-0.3291443982816303,-0.3169184380728749,Role Prior,0.64
KKR,Angkrish Raghuvanshi,Batter,3.0,0.0,squad_2026,0.0307367914038555,0.0530082846589715,518.0,0.0,IPL,,,,
KKR,Anukul Roy,Allrounder,0.4,0.0,squad_2026,0.0135567490003944,0.2004695780086072,50.0,227.0,IPL,,,,
KKR,Blessing Muzarabani,,,,replacement,0.1216510655589099,0.0639487708047243,0.0,42.0,IPL_thin,,,,
KKR,Cameron Green,Batter,25.2,1.0,squad_2026,0.1244948290522274,-0.0176654778961372,618.0,513.0,IPL,0.1244948290522274,-0.0176654778961372,IPL,1.0
KKR,Daksh Kamra,Allrounder,0.3,0.0,squad_2026,0.1212247809667457,0.0697944128253414,,,Role Prior,0.1212247809667457,0.0697944128253414,Role Prior,
KKR,Finn Allen,WK-Batter,2.0,1.0,squad_2026,0.1645120114085588,0.0530082846589715,102.0,0.0,IPL,0.1645120114085587,,IPL,0.58
KKR,Harshit Rana,Bowler,4.0,0.0,squad_2026,0.0035075922787986,0.2063086317996542,54.0,622.0,IPL,,,,
KKR,Kartik Tyagi,Bowler,0.3,0.0,squad_2026,0.0742485582593005,0.1302630580583022,9.0,278.0,IPL,-0.3291443982816303,0.1302630580583022,Role Prior,0.73
KKR,Manish Pandey,Batter,0.75,0.0,squad_2026,0.0868871601798525,0.0530082846589715,242.0,0.0,IPL,,,,
KKR,Matheesha Pathirana,Bowler,18.0,1.0,squad_2026,0.1216510655589099,0.1143138256938513,0.0,663.0,IPL,-0.253939941610228,0.1143138256938513,Role Prior,1.0
KKR,Navdeep Saini,,,,replacement,0.1216510655589099,-0.0214011259371661,0.0,57.0,IPL_thin,,,,
KKR,Prashant Solanki,Bowler,0.3,0.0,squad_2026,-0.253939941610228,0.156542315570694,,,Role Prior,-0.253939941610228,0.156542315570694,Role Prior,
KKR,Rinku Singh,Batter,13.0,0.0,squad_2026,0.1201874838357188,0.0530082846589715,727.0,0.0,IPL,,,,
KKR,Rovman Powell,Batter,1.5,1.0,squad_2026,-0.0169161974664032,0.0638186939609843,172.0,13.0,IPL,,,,
KKR,Sarthak Ranjan,Allrounder,0.3,0.0,squad_2026,0.1212247809667457,0.0697944128253414,,,Role Prior,0.1212247809667457,0.0697944128253414,Role Prior,
KKR,Sunil Narine,Allrounder,12.0,1.0,squad_2026,0.1689528350215197,0.2487346713483242,471.0,1100.0,IPL,,,,
KKR,Tejasvi Dahiya,WK-Batter,3.0,0.0,squad_2026,0.1335576851482081,,,,Role Prior + SMAT,0.1335576851482081,,Role Prior + SMAT,0.23
KKR,Vaibhav Arora,Bowler,1.8,0.0,squad_2026,0.0358187242580107,0.1219888303809812,14.0,745.0,IPL,,,,
KKR,Varun Chakravarthy,Bowler,12.0,0.0,squad_2026,0.0848032082546872,0.3188502009948282,11.0,1092.0,Role Prior,,,,
LSG,Abdul Samad,Batter,4.2,0.0,squad_2026,0.1125154240787949,-0.0337044355729283,394.0,3.0,IPL,,,,
LSG,Aiden Markram,Batter,2.0,1.0,squad_2026,0.1128981176149993,-0.2900271338762659,840.0,164.0,IPL,,,,
LSG,Akash Maharaj Singh,Bowler,0.3,0.0,squad_2026,,,,,Role Prior,,,,
LSG,Arshin Kulkarni,Allrounder,0.3,0.0,squad_2026,0.0216863219430509,0.0530082846589715,32.0,0.0,IPL_thin,,,,
LSG,Avesh Khan,Bowler,9.75,0.0,squad_2026,0.0992791470347968,-0.1183978555660712,24.0,936.0,IPL,,,,
LSG,Ayush Badoni,Batter,4.0,0.0,squad_2026,0.1747079171904178,-0.0220674096921826,687.0,29.0,IPL,,,,
LSG,Digvesh Rathi,Bowler,0.3,0.0,squad_2026,0.0693163313062377,-0.0985702756042814,8.0,506.0,Role Prior,,,,
LSG,George Linde,,,,replacement,0.0969120102401186,-0.1286491964003832,21.0,37.0,IPL_thin,,,,
LSG,Himmat Singh,Batter,0.3,0.0,squad_2026,0.1411858894927098,0.0530082846589715,69.0,0.0,IPL_thin,,,,
LSG,Josh Inglis,WK-Batter,8.6,1.0,squad_2026,0.3054546559476633,0.0530082846589715,209.0,0.0,IPL,0.3054546559476632,,IPL,0.67
LSG,Mayank Yadav,Bowler,11.0,0.0,squad_2026,0.0905275623279303,-0.2477042621743979,5.0,170.0,IPL,,,,
LSG,Mitchell Marsh,Allrounder,3.4,1.0,squad_2026,0.2731947357796049,0.052683723657223,768.0,170.0,IPL,,,,
LSG,Mohammed Shami,,,,replacement,-0.0021960975088884,0.0929574427383705,38.0,831.0,IPL,,,,
LSG,Mohsin Khan,Bowler,4.0,0.0,squad_2026,0.0562223857055475,0.1306534065370258,12.0,408.0,IPL,,,,
LSG,Mukul Choudhary,WK-Batter,2.6,0.0,squad_2026,0.113726731572497,0.0530082846589715,107.0,0.0,IPL,0.113726731572497,,IPL,0.59
LSG,Naman Tiwari,Bowler,1.0,0.0,squad_2026,-0.253939941610228,0.156542315570694,,,Role Prior,-0.253939941610228,0.156542315570694,Role Prior,
LSG,Nicholas Pooran,WK-Batter,21.0,1.0,squad_2026,0.2978084617064575,0.0530082846589715,902.0,0.0,IPL,,,,
LSG,Prince Yadav,Bowler,0.3,0.0,squad_2026,0.0685315556373595,0.1493757980806947,11.0,383.0,IPL,,,,
LSG,Shahbaz Ahmed,Allrounder,2.4,0.0,squad_2026,0.0319675389273255,-0.240946801287771,254.0,301.0,IPL,,,,
MI,AM Ghazanfar,Bowler,4.8,1.0,squad_2026,0.1216510655589099,-0.0643055951597546,0.0,191.0,IPL,,,,
MI,Ashwani Kumar,Batter,0.3,0.0,squad_2026,0.075922452995636,0.063391122442014,6.0,185.0,IPL,,,,
MI,Atharva Ankolekar,Allrounder,0.3,0.0,squad_2026,0.1212247809667457,0.0476651566758588,,,Role Prior,0.1212247809667457,0.0476651566758588,Role Prior,0.29
MI,Corbin Bosch,Allrounder,0.75,1.0,squad_2026,0.1167844059345246,0.1929027024359377,41.0,98.0,IPL,,,,
MI,Jasprit Bumrah,Bowler,18.0,0.0,squad_2026,0.0761793383924147,0.3680395992450458,20.0,852.0,IPL,,,,
MI,Krish Bhagat,,,,replacement,0.0170260777665511,-0.0371488677970389,21.0,36.0,IPL_thin,,,,
MI,Mayank Markande,,,,replacement,0.1222999659487493,-0.0411956600816661,13.0,391.0,IPL,,,,
MI,Mohammed Salahuddin Izhar,Bowler,0.3,0.0,squad_2026,-0.253939941610228,0.1582472709735259,,,Role Prior,-0.253939941610228,0.1582472709735259,Role Prior,0.26
MI,Naman Dhir,Batter,5.25,0.0,squad_2026,0.204362261549271,0.0160982823492211,419.0,52.0,IPL,,,,
MI,Raghu Sharma,Bowler,0.3,0.0,squad_2026,0.1216510655589099,0.0849966640915006,0.0,48.0,IPL_thin,,,,
MI,Raj Bawa,Allrounder,0.3,0.0,squad_2026,0.0795944112445134,-0.0346990722444855,14.0,19.0,Role Prior,,,,
MI,Rohit Sharma,Batter,16.3,0.0,squad_2026,0.1431725874130742,0.0530082846589715,945.0,0.0,IPL,,,,
MI,Ryan Rickelton,WK-Batter,1.0,1.0,squad_2026,0.2682993379303122,0.0530082846589715,460.0,0.0,IPL,,,,
MI,Shardul Thakur,,,,replacement,-0.0016397567902714,-0.1823658180275995,118.0,610.0,IPL,,,,
MI,Sherfane Rutherford,,,,replacement,0.1028921489461201,0.0530082846589715,239.0,0.0,IPL,,,,
MI,Suryakumar Yadav,Batter,16.35,0.0,squad_2026,0.2942924662224866,0.0530082846589715,1102.0,0.0,IPL,,,,
MI,Tilak Varma,Batter,8.0,0.0,squad_2026,0.2162206369207522,0.0429599169826255,909.0,10.0,IPL,,,,
MI,Will Jacks,Allrounder,5.25,1.0,squad_2026,0.1447581699815041,-0.1017983308799443,344.0,169.0,IPL,,,,
PBKS,Arshdeep Singh,Bowler,18.0,0.0,squad_2026,0.0767252305954409,0.0830222372745811,12.0,1210.0,IPL,,,,
PBKS,Azmatullah Omarzai,Allrounder,2.4,1.0,squad_2026,0.0776602487555949,-0.0415130398019541,74.0,289.0,IPL,,,,
PBKS,Ben Dwarshuis,Allrounder,4.4,1.0,squad_2026,0.1216510655589099,-0.0351413175201328,0.0,24.0,IPL_thin,0.1089151272694026,0.0499574139898371,T20I,0.52
PBKS,Cooper Connolly,Allrounder,3.0,1.0,squad_2026,0.3426287783660269,0.0530082846589715,247.0,0.0,IPL,0.3426287783660269,0.0439143433238504,IPL,0.71
PBKS,Harnoor Singh,Batter,0.3,0.0,squad_2026,,,,,Role Prior,,,,
PBKS,Harpreet Brar,Bowler,1.5,0.0,squad_2026,0.0513402274734758,0.1106044629490658,108.0,548.0,IPL,,,,
PBKS,Marco Jansen,Allrounder,7.0,1.0,squad_2026,-0.0358089473958598,-0.0085827069375347,157.0,750.0,IPL,,,,
PBKS,Marcus Stoinis,Allrounder,11.0,1.0,squad_2026,0.3167230850049274,-0.2373618041755297,716.0,282.0,IPL,,,,
PBKS,Mitchell Owen,Batter,3.0,1.0,squad_2026,0.0645460179856078,0.0530082846589715,2.0,0.0,IPL_thin,,,,
PBKS,Musheer Khan,Allrounder,0.3,0.0,squad_2026,0.0873535842461205,-0.0455258164822492,3.0,12.0,IPL_thin,,,,
PBKS,Nehal Wadhera,Batter,4.2,0.0,squad_2026,0.2025122460562528,0.0433059346037479,560.0,17.0,IPL,,,,
PBKS,Prabhsimran Singh,Batter,4.0,0.0,squad_2026,0.2505377368761315,0.0530082846589715,1047.0,0.0,IPL,,,,
PBKS,Praveen Dubey,Bowler,0.3,0.0,squad_2026,0.0976979716743274,0.0692839193273726,20.0,30.0,IPL_thin,0.0849680390591112,0.1091605214499912,Role Prior,0.25
PBKS,Priyansh Arya,Batter,3.8,0.0,squad_2026,0.4225526691916216,0.0530082846589715,450.0,0.0,IPL,,,,
PBKS,Pyla Avinash,Batter,0.3,0.0,squad_2026,,,,,Role Prior,,,,
PBKS,Shashank Singh,Allrounder,5.5,0.0,squad_2026,0.2566331421689837,0.1339430575895499,483.0,48.0,IPL,,,,
PBKS,Shreyas Iyer,Batter,26.75,0.0,squad_2026,0.2205228215347335,0.0530082846589715,823.0,0.0,IPL,,,,
PBKS,Suryansh Shedge,Allrounder,0.3,0.0,squad_2026,0.1756755161185675,-0.063753142951272,67.0,19.0,IPL_thin,,,,
PBKS,Vijaykumar Vyshak,Bowler,1.8,0.0,squad_2026,0.0714083597935912,-0.1593751576113856,16.0,504.0,IPL,,,,
PBKS,Vishal Nishad,Bowler,0.3,0.0,squad_2026,-0.253939941610228,0.156542315570694,,,Role Prior,-0.253939941610228,0.156542315570694,Role Prior,
PBKS,Vishnu Vinod,WK-Batter,0.95,0.0,squad_2026,0.1058637668538095,0.0530082846589715,31.0,0.0,IPL_thin,,,,
PBKS,Yuzvendra Chahal,Bowler,18.0,0.0,squad_2026,0.1216510655589099,-0.0094918195803018,0.0,1119.0,IPL,,,,
RCB,Bhuvneshwar Kumar,Bowler,10.75,0.0,squad_2026,-0.0553231514832282,0.2512518839199051,127.0,1220.0,IPL,,,,
RCB,Devdutt Padikkal,Batter,2.0,0.0,squad_2026,0.1699269365248647,0.0530082846589715,603.0,0.0,IPL,,,,
RCB,Jacob Bethell,Allrounder,2.6,1.0,squad_2026,0.0280525076741105,0.0530082846589715,97.0,0.0,IPL_thin,,,,
