player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Hari Nishanth,0.0,0.0,0.0,CSK,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Bhagath Verma,0.0,0.0,0.0,CSK,Allrounder,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Harishankar Reddy,0.0,0.0,0.0,CSK,Bowler,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Cheteshwar Pujara,0.0,0.0,0.0,CSK,Batter,0.5,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Krishnappa Gowtham,0.382,0.38,0.38,CSK,Allrounder,9.25,0,0,sold,807.0,0.0,807.0,IPL only,110.0,414.0,7.0,Powerplay+Middle,spin bowler,Lower,807.0,0.38,0.0,0.38
Moeen Ali,0.606,0.61,0.61,CSK,Allrounder,7.0,0,1,sold,916.3,0.0,916.3,IPL+T20I,195.0,264.0,5.0,Middle,spin bowler,Middle,916.3,0.61,0.0,0.61
KM Asif,0.541,0.54,0.54,CSK,Bowler,0.4,0,0,retained,36.0,0.0,36.0,IPL only,0.0,38.0,,,pace bowler,,36.0,0.54,0.0,0.54
Josh Hazlewood,0.661,0.66,0.66,CSK,Bowler,2.0,0,1,retained,202.5,0.0,202.5,IPL+T20I,0.0,61.0,,Powerplay,pace bowler,,202.5,0.66,0.0,0.66
Lungi Ngidi,0.695,0.7,0.7,CSK,Bowler,0.5,0,1,retained,548.55,0.0,548.55,IPL+T20I,0.0,267.0,,Powerplay+Middle+Death,pace bowler,,548.55,0.7,0.0,0.7
Shardul Thakur,0.376,0.38,0.38,CSK,Bowler,2.6,0,0,retained,1432.1,0.0,1432.1,IPL+T20I,33.0,688.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,1432.1,0.38,0.0,0.38
