team,player,role,detail_role,sal,source,overseas,capped
CSK,Narayan Jagadeesan,WK-Batter,,0.9,released,,
CSK,Adam Milne,Batter,,0.3,released,,
CSK,Chris Jordan,Batter,,0.3,released,,
DC,Mandeep Singh,Batter,,0.5,released,,
DC,Srikar Bharat,WK-Batter,,1.2,released,,
GT,Varun Aaron,Batter,,0.3,released,,
KKR,Ajinkya Rahane,Batter,,0.5,released,,
KKR,Shivam Mavi,Bowler,,6.0,released,,
KKR,Baba Indrajith,Batter,,0.3,released,,
LSG,Manish Pandey,Batter,,2.4,released,,
LSG,Jason Holder,Allrounder,,5.75,released,OS,
LSG,Dushmantha Chameera,Batter,,0.3,released,,
MI,Anmolpreet Singh,Batter,,0.2,released,,
MI,Mayank Markande,Bowler,,0.5,released,,
MI,Sanjay Yadav,Batter,,0.3,released,,
MI,Daniel Sams,Allrounder,,0.75,released,OS,
MI,Riley Meredith,Batter,,0.3,released,,
MI,Murugan Ashwin,Bowler,,0.2,released,,
MI,Jaydev Unadkat,Bowler,,0.5,released,,
PBKS,Sandeep Sharma,Batter,,0.3,released,,
PBKS,Vaibhav Arora,Allrounder,,0.6,released,,
PBKS,Prerak Mankad,Allrounder,,0.2,released,,
PBKS,Mayank Agarwal,Batter,,8.25,released,,
PBKS,Odean Smith,Allrounder,,0.5,released,OS,
RCB,Sherfane Rutherford,Batter,,0.3,released,,
RR,James Neesham,Batter,,0.3,released,,
RR,Daryl Mitchell,Batter,,0.3,released,,
RR,Rassie van der Dussen,Batter,,0.3,released,,
SRH,Priyam Garg,Batter,,0.3,released,,
SRH,Shreyas Gopal,Batter,,0.3,released,,
SRH,Nicholas Pooran,WK-Batter,,16.0,released,OS,
SRH,Jagadeesha Suchith,Batter,,0.3,released,,
SRH,Kane Williamson,Batter,,2.0,released,OS,
SRH,Shashank Singh,Batter,,0.3,released,,
SRH,Romario Shepherd,Bowler,,0.5,released,OS,
