season,seasons_used,player,pWAR,rate,balls_eq,wb_ipl,wb_t20,bf,bb,source,rate_shrunk
2021,"2018,2019,2020",AB de Villiers,1.3053479381065465,0.4362892960010858,1707.0,1707.0,0.0,1707.0,0.0,IPL only,0.3589706829793003
2021,"2018,2019,2020",Aaron Finch,0.777534372639332,0.2443012953831596,996.7,823.0,1158.0,823.0,0.0,IPL+T20I,0.21382195247581628
2021,"2018,2019,2020",Abdul Samad,0.5083963473183959,0.0730479089127735,321.0,321.0,0.0,195.0,126.0,IPL only,0.13980899551255888
2021,"2018,2019,2020",Abhishek Sharma,0.1940760245154253,-0.1394219660537944,425.0,425.0,0.0,219.0,206.0,IPL only,0.053370906741741955
2021,"2018,2019,2020",Adam Zampa,0.3674591890512685,-0.0355470683412897,355.5,198.0,1050.0,0.0,198.0,IPL+T20I,0.10105127698909884
2021,"2018,2019,2020",Adil Rashid,0.5954300512304674,0.1399814714285344,196.8,0.0,1312.0,,,T20I only,0.16374326408837855
2021,"2018,2019,2020",Afif Hossain,0.5893159982401622,0.0530623465162103,53.7,0.0,358.0,,,T20I only,0.1620618995160446
2021,"2018,2019,2020",Ajinkya Rahane,0.7367635824752966,0.2212918956029058,1206.0,1206.0,0.0,1206.0,0.0,IPL only,0.20260998518070658
2021,"2018,2019,2020",Akila Dananjaya,0.47074368588179855,-0.1466980730466949,103.85,29.0,499.0,5.0,24.0,IPL+T20I,0.1294545136174946
2021,"2018,2019,2020",Akshdeep Nath,0.5031283684134679,-0.0383672163062155,127.0,127.0,0.0,127.0,0.0,IPL only,0.13836030131370367
2021,"2018,2019,2020",Al-Amin Hossain,0.6491354957003598,0.3183141690953012,40.5,0.0,270.0,,,T20I only,0.17851226131759895
2021,"2018,2019,2020",Alex Carey,0.46068905016946626,-0.118909897482579,124.65,87.0,251.0,87.0,0.0,IPL+T20I,0.12668948879660322
2021,"2018,2019,2020",Alex Hales,0.7330155814096719,0.3480459992196915,148.9,118.0,206.0,118.0,0.0,IPL+T20I,0.20157928488765978
2021,"2018,2019,2020",Alzarri Joseph,0.387610631938342,-0.2371113762876596,130.0,130.0,0.0,26.0,104.0,IPL only,0.10659292378304405
2021,"2018,2019,2020",Ambati Rayudu,0.7008044913854753,0.2011399292703702,1854.0,1854.0,0.0,1854.0,0.0,IPL only,0.19272123513100572
2021,"2018,2019,2020",Aminul Islam,0.5711231462345049,-0.0756625279989474,40.2,0.0,268.0,,,T20I only,0.15705886521448884
2021,"2018,2019,2020",Amit Mishra,0.4717224655142223,0.0992530565770159,935.0,935.0,0.0,50.0,885.0,IPL only,0.12972367801641113
2021,"2018,2019,2020",Andile Phehlukwayo,0.5807292662214618,0.0942868496515043,114.75,0.0,765.0,,,T20I only,0.15970054821090202
2021,"2018,2019,2020",Andre Fletcher,0.6369158269124601,0.2690437963250758,35.25,0.0,235.0,,,T20I only,0.17515185240092654
2021,"2018,2019,2020",Andre Russell,0.9605497070636038,0.2989497336476578,1885.4,1832.0,356.0,912.0,920.0,IPL+T20I,0.264151169442491
2021,"2018,2019,2020",Andrew Tye,0.3446916757555684,0.0299958673321383,817.1,737.0,534.0,60.0,677.0,IPL+T20I,0.09479021083278132
2021,"2018,2019,2020",Andy Balbirnie,0.6162094755495937,0.1660472093362718,198.3,0.0,1322.0,,,T20I only,0.16945760577613828
2021,"2018,2019,2020",Angelo Mathews,0.5716335355584582,-0.0387192975588653,47.25,0.0,315.0,,,T20I only,0.15719922227857602
2021,"2018,2019,2020",Ankit Rajpoot,0.012624100965929948,-0.1586177844692941,721.0,721.0,0.0,48.0,673.0,IPL only,0.003471627765630736
2021,"2018,2019,2020",Anrich Nortje,0.6347266735759226,0.1770241597481074,1167.3,1116.0,342.0,18.0,1098.0,IPL+T20I,0.17454983523337872
2021,"2018,2019,2020",Arshdeep Singh,0.3755145249047524,0.0220746815454261,579.0,579.0,0.0,9.0,570.0,IPL only,0.1032664943488069
2021,"2018,2019,2020",Asghar Afghan,0.5845558088425375,0.0839998717499083,88.2,0.0,588.0,,,T20I only,0.16075284743169782
2021,"2018,2019,2020",Ashton Agar,0.6157227319255829,0.1647568487786599,168.6,0.0,1124.0,,,T20I only,0.1693237512795353
2021,"2018,2019,2020",Ashton Turner,0.5008533448996346,-0.6051983419754144,30.8,20.0,72.0,20.0,0.0,IPL+T20I,0.13773466984739952
2021,"2018,2019,2020",Asif Ali,0.5463474719665212,-0.1226958423834477,51.75,0.0,345.0,,,T20I only,0.15024555479079335
2021,"2018,2019,2020",Avesh Khan,0.2877587604560548,-0.1999189359380424,229.0,229.0,0.0,6.0,223.0,IPL only,0.07913365912541508
2021,"2018,2019,2020",Avishka Fernando,0.4901035092780681,-0.2557016620423373,63.9,0.0,426.0,,,T20I only,0.13477846505146873
2021,"2018,2019,2020",Axar Patel,0.5707139697017777,0.1526326924648476,2187.05,2186.0,7.0,500.0,1686.0,IPL+T20I,0.15694634166798888
2021,"2018,2019,2020",Babar Azam,0.7285896365801631,0.2906741491302583,232.05,0.0,1547.0,,,T20I only,0.20036215005954483
2021,"2018,2019,2020",Barinder Sran,0.20242609271769194,-0.3562794030111815,195.0,195.0,0.0,13.0,182.0,IPL only,0.05566717549736529
2021,"2018,2019,2020",Barry McCarthy,0.5327674143608009,-0.324343486869856,35.55,0.0,237.0,,,T20I only,0.14651103894922024
2021,"2018,2019,2020",Basil Thampi,0.23698915036290283,-0.1915394617424091,287.0,287.0,0.0,8.0,279.0,IPL only,0.06517201634979829
2021,"2018,2019,2020",Ben Cutting,0.37817577934186763,-0.1092941750571919,218.0,218.0,0.0,92.0,126.0,IPL only,0.1039983393190136
2021,"2018,2019,2020",Ben Laughlin,0.570916650097468,0.085283372566424,131.0,131.0,0.0,4.0,127.0,IPL only,0.1570020787768037
2021,"2018,2019,2020",Ben Stokes,0.5098723873255832,0.1281151319045462,1747.65,1662.0,571.0,959.0,703.0,IPL+T20I,0.1402149065145354
2021,"2018,2019,2020",Beuran Hendricks,0.5735710156817297,0.0006288438378628,56.55,0.0,377.0,,,T20I only,0.15773202931247568
2021,"2018,2019,2020",Bhanuka Rajapaksa,0.6161444929780497,0.1491214240926293,33.9,0.0,226.0,,,T20I only,0.1694397355689637
2021,"2018,2019,2020",Bhuvneshwar Kumar,0.5579657687608868,0.1449744169384764,1404.2,1307.0,648.0,60.0,1247.0,IPL+T20I,0.15344058640924385
2021,"2018,2019,2020",Billy Stanlake,0.7648234927364173,0.3876156810321116,157.55,98.0,397.0,2.0,96.0,IPL+T20I,0.21032646050251474
2021,"2018,2019,2020",Blair Tickner,0.5751967072703732,-0.0093915703642928,51.15,0.0,341.0,,,T20I only,0.15817909449935263
2021,"2018,2019,2020",Blessing Muzarabani,0.6029346879958337,0.0988985874778539,48.3,0.0,322.0,,,T20I only,0.16580703919885428
2021,"2018,2019,2020",Boyd Rankin,0.510920741576551,-0.1959524250437375,62.25,0.0,415.0,,,T20I only,0.14050320393355153
2021,"2018,2019,2020",Brandon King,0.6112260637239254,0.1307449668284931,43.8,0.0,292.0,,,T20I only,0.16808716752407948
2021,"2018,2019,2020",Brendon McCullum,0.6731639788260703,0.3020230517532624,88.0,88.0,0.0,88.0,0.0,IPL only,0.18512009417716932
2021,"2018,2019,2020",Carlos Brathwaite,0.3603732599944109,-0.1018826719733495,248.4,165.0,556.0,68.0,97.0,IPL+T20I,0.099102646498463
2021,"2018,2019,2020",Chris Gayle,1.0078503873109668,0.32553973710369,1544.3,1535.0,62.0,1520.0,15.0,IPL+T20I,0.27715885651051586
2021,"2018,2019,2020",Chris Green,0.5222927058825889,-0.2241196975474634,51.0,51.0,0.0,0.0,51.0,IPL only,0.14363049411771195
