player,bf,v_bat,rate_bat,bb,v_bowl,rate_bowl,balls,VORP,rate,WAR_cum,wballs,WAR,target,t_years,is_mega
Prerak Mankad,3.0,7.581184737073578,2.527061579024526,0.0,0.0,0.0,3.0,7.581184737073578,2.527061579024526,0.09189314832816457,3.0,9.189314832816459,2023,2,False
Tim David,264.0,221.10182921841022,0.8375069288576145,0.0,0.0,0.0,264.0,221.10182921841022,0.8375069288576145,2.6800221723443665,264.0,3.045479741300416,2023,2,False
Bhanuka Rajapaksa,387.0,252.0244037489937,0.6512258494806039,0.0,0.0,0.0,387.0,252.0244037489937,0.6512258494806039,3.05484125756356,387.0,2.368093998111287,2023,2,False
Prithvi Shaw,1324.0,808.4476148879914,0.6106099810332262,0.0,0.0,0.0,1324.0,808.4476148879914,0.6106099810332262,9.79936502894535,1324.0,2.220399931029913,2023,2,False
Sai Kishore,0.0,0.0,0.0,288.0,155.81856881628892,0.541036697278781,288.0,155.81856881628892,0.541036697278781,1.8887099250459263,288.0,1.96740617192284,2023,2,False
Devon Conway,519.0,278.7715711381052,0.5371321216533819,0.0,0.0,0.0,519.0,278.7715711381052,0.5371321216533819,3.3790493471285474,519.0,1.9532077151032068,2023,2,False
Pradeep Sangwan,15.0,-17.52218460719905,-1.1681456404799369,162.0,107.86796879210493,0.6658516592105242,177.0,90.34578418490588,0.5104281592367564,1.0951004143624956,177.0,1.856102397224569,2023,2,False
Imran Tahir,10.0,2.421144638895427,0.24211446388954272,114.0,58.53316295877008,0.513448797883948,124.0,60.954307597665505,0.49156699675536697,0.7388400920929152,124.0,1.787516351837698,2023,2,False
Mohsin Khan,48.0,-15.230579758876692,-0.31730374497659775,594.0,315.7315828725652,0.5315346513006148,642.0,300.5010031136885,0.468070098307926,3.6424364013780424,642.0,1.7020730847560948,2023,2,False
Chris Lynn,70.0,32.143802441098416,0.45919717772997737,0.0,0.0,0.0,70.0,32.143802441098416,0.45919717772997737,0.3896218477708899,70.0,1.6698079190180997,2023,2,False
Rahul Tripathi,1530.0,698.8262211599503,0.45674916415683026,0.0,0.0,0.0,1530.0,698.8262211599503,0.45674916415683026,8.470620862544852,1530.0,1.6609060514793828,2023,2,False
Yashasvi Jaiswal,962.0,439.2078242194997,0.45655698983315973,3.0,-13.264924936807054,-4.421641645602351,965.0,425.9428992826926,0.44139160547429285,5.162944233729608,965.0,1.6050603835428832,2023,2,False
Jofra Archer,63.0,33.498981636537394,0.5317298672466253,336.0,141.2045153450728,0.4202515337650976,399.0,174.7034969816102,0.4378533758937599,2.1176181452316385,399.0,1.5921940941591266,2023,2,False
Dewald Brevis,339.0,148.63583105343378,0.4384537789186837,9.0,-4.818577550774114,-0.5353975056415682,348.0,143.81725350265967,0.41326796983522895,1.7432394363958748,348.0,1.5027926175826507,2023,2,False
Jos Buttler,2296.0,948.1992923926193,0.41297878588528714,0.0,0.0,0.0,2296.0,948.1992923926193,0.41297878588528714,11.493324756274173,2296.0,1.5017410395828623,2023,2,False
Quinton de Kock,1893.0,764.8862178747463,0.4040603369650007,0.0,0.0,0.0,1893.0,764.8862178747463,0.4040603369650007,9.27134809545147,1893.0,1.469310316236366,2023,2,False
AB de Villiers,708.0,281.5007407424212,0.39759991630285485,0.0,0.0,0.0,708.0,281.5007407424212,0.39759991630285485,3.412130190817227,708.0,1.4458178774649266,2023,2,False
Suryakumar Yadav,1397.0,554.1687499362176,0.3966848603695187,0.0,0.0,0.0,1397.0,554.1687499362176,0.3966848603695187,6.71719696892385,1397.0,1.4424904013437043,2023,2,False
Mayank Agarwal,1379.0,543.8653689575085,0.39439113049855584,0.0,0.0,0.0,1379.0,543.8653689575085,0.39439113049855584,6.592307502515254,1379.0,1.434149565449294,2023,2,False
Rajat Patidar,778.0,305.59881649404963,0.3928005353393954,0.0,0.0,0.0,778.0,305.59881649404963,0.3928005353393954,3.704228078715753,778.0,1.428365583052347,2023,2,False
David Warner,1630.0,622.4063235503211,0.3818443702762706,1.0,0.11723503577562888,0.11723503577562888,1631.0,622.5235585860967,0.38168213279343755,7.545740104073899,1631.0,1.387935028339773,2023,2,False
Matheesha Pathirana,0.0,0.0,0.0,123.0,46.643082570285515,0.3792120534169554,123.0,46.643082570285515,0.3792120534169554,0.5653706978216426,123.0,1.3789529215162015,2023,2,False
KL Rahul,2785.0,1048.1204646676329,0.3763448706167443,0.0,0.0,0.0,2785.0,1048.1204646676329,0.3763448706167443,12.704490480819793,2785.0,1.3685268022427066,2023,2,False
Jonny Bairstow,1147.0,430.4564757407823,0.37528899367112667,0.0,0.0,0.0,1147.0,430.4564757407823,0.37528899367112667,5.217654251403422,1147.0,1.3646872497131879,2023,2,False
Umesh Yadav,122.0,21.79470511002099,0.17864512385263104,922.0,354.1253808918864,0.3840839272146273,1044.0,375.92008600190735,0.3600767107297963,4.556607103053422,1044.0,1.3093698571992591,2023,2,False
Kumar Kartikeya,15.0,-7.338349763833023,-0.48922331758886817,234.0,96.55640945776653,0.4126342284519937,249.0,89.21805969393351,0.3583054606182069,1.0814310265931335,249.0,1.3029289477025705,2023,2,False
Dinesh Karthik,1014.0,362.81522037840784,0.3578059372568125,0.0,0.0,0.0,1014.0,362.81522037840784,0.3578059372568125,4.397760247011004,1014.0,1.3011124991156817,2023,2,False
Andre Russell,897.0,500.6954110448461,0.558188864041077,848.0,122.51545883641128,0.1444757769297303,1745.0,623.2108698812574,0.35714089964541973,7.554071150075847,1745.0,1.298694180528799,2023,2,False
KM Asif,0.0,0.0,0.0,28.0,9.6179927695839,0.3434997417708536,28.0,9.6179927695839,0.3434997417708536,0.1165817305404109,28.0,1.2490899700758311,2023,2,False
